id_client,nom,prenom,sexe,age,ville,code_offre,date_souscription,date_resiliation,statut
CL00001,RIOU,Cécile,F,40,Yamoussoukro,CONNECT,2022-03-03,,actif
CL00002,LAURENT,Laure,F,32,Abidjan,PULSE,2023-04-13,2024-04-14,resilie
CL00003,MOULIN,Hélène,F,56,Abidjan,SENIOR,2025-05-04,,actif
CL00004,JOLY,Caroline,F,44,San-Pedro,PULSE,2022-07-21,2025-06-01,resilie
CL00005,LABBÉ,Aurore,F,27,Abidjan,CONNECT,2025-03-05,2025-11-16,resilie
CL00006,MAURY,Marcel,M,27,Abidjan,PULSE,2023-04-07,,actif
CL00007,DAVID,Alexandre,M,19,Abidjan,CONNECT,2022-01-24,,actif
CL00008,MORIN,Gabrielle,F,38,Abidjan,PRO,2024-05-25,,actif
CL00009,REY,Claude,F,34,Bouake,PULSE,2023-03-27,,actif
CL00010,MARION,Alexandre,M,18,Bouake,PULSE,2022-08-08,2024-04-09,resilie
CL00011,GUILBERT,Eugène,M,25,Bouake,CONNECT,2023-12-16,,actif
CL00012,AUGER,Paulette,F,29,Abidjan,CONNECT,2024-08-08,,actif
CL00013,VASSEUR,Maurice,M,45,Abidjan,CONNECT,2022-06-21,,actif
CL00014,PRUVOST,Guillaume,M,18,Abidjan,PULSE,2025-04-07,2025-07-23,resilie
CL00015,ROBERT,Constance,F,44,Abidjan,PULSE,2025-09-26,2025-12-27,resilie
CL00016,ROCHER,Pauline,F,36,Abidjan,CONNECT,2023-05-02,,actif
CL00017,LEBLANC,Guillaume,M,18,Yamoussoukro,CONNECT,2023-08-03,,actif
CL00018,MEYER,Franck,M,23,Abidjan,CONNECT,2022-12-10,,actif
CL00019,LEDOUX,Maggie,F,38,Abidjan,SENIOR,2023-07-11,,actif
CL00020,HENRY,Bernadette,F,28,Yamoussoukro,PULSE,2025-06-11,,actif
CL00021,GILLET,Brigitte,F,48,Yamoussoukro,PULSE,2022-12-11,,actif
CL00022,PELLETIER,Jérôme,M,47,Abidjan,PULSE,2025-08-13,,actif
CL00023,TEXIER,Julie,F,38,Abidjan,PULSE,2023-11-06,,actif
CL00024,BERTRAND,Suzanne,F,47,Abidjan,CONNECT,2023-04-25,,actif
CL00025,REGNIER,Charles,M,45,San-Pedro,CONNECT,2024-04-11,,actif
CL00026,HOAREAU,Audrey,F,52,Abidjan,PREMIUM,2025-03-17,,actif
CL00027,COURTOIS,William,M,39,Yamoussoukro,CONNECT,2023-03-22,,actif
CL00028,TECHER,Thierry,M,55,Abidjan,CONNECT,2025-08-19,,actif
CL00029,ÉTIENNE,Sébastien,M,35,Abidjan,CONNECT,2022-10-23,,actif
CL00030,OLIVIER,Arthur,M,29,San-Pedro,PULSE,2025-04-22,,actif
CL00031,LAMBERT,Vincent,M,54,Abidjan,PULSE,2024-01-22,2024-09-09,resilie
CL00032,DUMAS,William,M,26,Abidjan,PULSE,2022-07-16,,actif
CL00033,CHEVALIER,Hortense,F,46,Yamoussoukro,PULSE,2022-11-20,,actif
CL00034,ROUSSEL,Laurent,M,38,San-Pedro,CONNECT,2025-05-16,2025-11-19,resilie
CL00035,LOPES,Michel,M,24,Abidjan,CONNECT,2024-12-29,,actif
CL00036,BOUSQUET,Mathilde,F,29,Yamoussoukro,ETUDIANT,2022-09-02,,actif
CL00037,GONCALVES,Julien,M,34,Abidjan,PULSE,2025-08-15,2025-12-01,resilie
CL00038,MONNIER,François,M,30,Abidjan,CONNECT,2022-11-30,,actif
CL00039,LECONTE,Grégoire,M,31,Abidjan,PREMIUM,2024-11-01,,actif
CL00040,BOUTIN,Arnaude,F,39,Abidjan,SENIOR,2025-07-14,,actif
CL00041,RAYNAUD,Denise,F,18,Abidjan,PULSE,2022-11-20,,actif
CL00042,JOUBERT,Jacqueline,F,33,Bouake,CONNECT,2025-01-19,,actif
CL00043,GONCALVES,Susan,F,31,Abidjan,CONNECT,2025-05-21,,actif
CL00044,GILLET,Laetitia,F,38,Korhogo,PULSE,2022-08-28,,actif
CL00045,RIOU,Roger,M,49,Abidjan,PREMIUM,2023-05-16,2025-08-03,resilie
CL00046,VASSEUR,Marguerite,F,44,Abidjan,PREMIUM,2022-07-05,,actif
CL00047,LECOQ,Andrée,F,42,Abidjan,ETUDIANT,2025-01-05,,actif
CL00048,ROLLAND,Alexandria,F,64,Abidjan,PULSE,2025-09-23,,actif
CL00049,GOMES,Noémi,F,35,Bouake,PULSE,2023-07-07,,actif
CL00050,ROYER,Arthur,M,26,Abidjan,PULSE,2023-03-20,,actif
CL00051,LECOMTE,Margaux,F,19,Bouake,CONNECT,2023-10-11,,actif
CL00052,LECOMTE,Victor,M,40,Korhogo,PULSE,2024-06-26,,actif
CL00053,DIDIER,Louis,M,23,Korhogo,ETUDIANT,2022-09-15,2024-03-06,resilie
CL00054,WEISS,Michel,M,29,Abidjan,PREMIUM,2022-02-23,,actif
CL00055,MEUNIER,Julie,F,37,Abidjan,PULSE,2025-04-30,2025-08-16,resilie
CL00056,JOLY,Jeanne,F,52,Abidjan,ETUDIANT,2023-04-24,2024-02-02,resilie
CL00057,VALLET,Roger,M,37,Abidjan,CONNECT,2022-06-05,,actif
CL00058,TANGUY,Gilles,M,44,Bouake,ETUDIANT,2024-10-01,2025-03-07,resilie
CL00059,LETELLIER,Stéphane,M,37,Bouake,PULSE,2023-05-23,,actif
CL00060,GILBERT,Stéphane,M,38,Abidjan,ETUDIANT,2023-02-04,2025-11-05,resilie
CL00061,ALEXANDRE,Jules,M,38,Abidjan,PULSE,2024-01-06,,actif
CL00062,VASSEUR,Daniel,M,23,Abidjan,PREMIUM,2022-05-01,,actif
CL00063,GRÉGOIRE,Virginie,F,18,Bouake,PULSE,2022-05-15,,actif
CL00064,ROBIN,André,M,43,Abidjan,PRO,2022-08-22,,actif
CL00065,MASSON,Colette,F,47,Bouake,CONNECT,2025-01-13,,actif
CL00066,TECHER,Édouard,M,39,Abidjan,CONNECT,2023-01-21,,actif
CL00067,BAZIN,Pauline,F,21,Korhogo,CONNECT,2022-06-14,,actif
CL00068,GODARD,Anouk,F,22,San-Pedro,PREMIUM,2022-04-24,,actif
CL00069,COLLIN,Monique,F,34,Bouake,CONNECT,2022-07-21,,actif
CL00070,GODARD,Suzanne,F,54,Abidjan,PREMIUM,2022-12-17,,actif
CL00071,EVRARD,Gilbert,M,19,Korhogo,SENIOR,2023-03-24,,actif
CL00072,LENOIR,Adrienne,F,40,San-Pedro,CONNECT,2022-12-14,,actif
CL00073,BAZIN,Bertrand,M,40,Korhogo,ETUDIANT,2023-07-08,,actif
CL00074,NORMAND,René,M,32,Abidjan,CONNECT,2023-08-18,,actif
CL00075,HAMEL,Grégoire,M,27,Abidjan,CONNECT,2022-11-24,2024-08-10,resilie
CL00076,LECOQ,Marianne,F,45,Korhogo,PREMIUM,2025-04-11,,actif
