ticket_id,created_at,category_id,agent_id,pays,canal,priorite,statut,sla_heures,first_response_heures,resolution_heures,sla_breach,nb_contacts,reopened,csat,in_backlog,ratio_sla,nom,tier,tier_num,bureau,csat_moyen,taux_resolution_pct,tickets_actifs,nom_cat,domaine,priorite_defaut,sla_strict,heure_creation,jour_semaine,mois,est_weekend,heure_hors_bureau,ticket_at_risk,is_high_priority,is_long_wait,is_reopened
TKT000001,2022-01-01 08:06:00,CAT006,AGT001,Ghana,Email,3,Backlog,360,29.1,431.4,1,1,0,,1,1.198,Aminata Diallo,Tier 1,1,Abidjan,4.2,88,42,Qualite produit,Product,3,False,8,5,1,1,0,1,0,1,0
TKT000002,2022-01-01 13:45:00,CAT001,AGT004,CI,Téléphone,4,Résolu,240,56.2,401.6,1,1,0,3.8,0,1.673,Moussa Kone,Tier 1,1,Abidjan,3.5,65,55,Facturation,Billing,4,True,13,5,1,1,0,1,0,1,0
TKT000003,2022-01-01 08:48:00,CAT008,AGT003,Maroc,Chat,2,Résolu,120,5.0,72.6,0,3,0,4.4,0,0.605,Fatou Sow,Tier 2,2,Dakar,4.5,94,28,Probleme paiement,Billing,2,True,8,5,1,1,0,0,1,1,0
TKT000004,2022-01-01 19:05:00,CAT007,AGT012,France,Email,5,En cours,480,139.5,803.0,1,3,0,,0,1.673,Samuel Acheampong,Tier 2,2,Accra,4.4,92,26,Demande info,General,5,False,19,5,1,1,1,1,0,1,0
TKT000005,2022-01-01 22:54:00,CAT007,AGT001,Maroc,Téléphone,5,Escaladé,480,68.4,485.9,1,3,1,,0,1.012,Aminata Diallo,Tier 1,1,Abidjan,4.2,88,42,Demande info,General,5,False,22,5,1,1,1,1,0,1,1
TKT000006,2022-01-01 14:38:00,CAT003,AGT011,Senegal,Web form,3,Résolu,180,18.0,217.4,1,1,0,3.7,0,1.208,Ramatou Diaby,Tier 1,1,Ouagadougou,3.6,68,52,Livraison retardee,Delivery,3,True,14,5,1,1,0,1,0,1,0
TKT000007,2022-01-01 10:49:00,CAT010,AGT011,Maroc,Email,1,Résolu,60,3.2,57.5,0,1,0,3.4,0,0.958,Ramatou Diaby,Tier 1,1,Ouagadougou,3.6,68,52,Fraude signalée,Security,1,True,10,5,1,1,0,0,1,0,0
TKT000008,2022-01-01 15:13:00,CAT002,AGT004,Mali,Chat,2,Escaladé,120,11.3,143.6,1,1,0,,0,1.197,Moussa Kone,Tier 1,1,Abidjan,3.5,65,55,Panne technique,Technical,2,True,15,5,1,1,0,1,1,1,0
TKT000009,2022-01-01 18:25:00,CAT007,AGT009,Senegal,Téléphone,5,Fermé,480,27.5,353.9,0,2,0,3.3,0,0.737,Nadia Benhaddou,Tier 1,1,Casablanca,4.0,80,45,Demande info,General,5,False,18,5,1,1,0,0,0,1,0
TKT000010,2022-01-01 15:38:00,CAT007,AGT002,CI,Email,5,Résolu,480,61.8,248.1,0,2,0,3.4,0,0.517,Kofi Mensah,Tier 1,1,Accra,3.8,72,38,Demande info,General,5,False,15,5,1,1,0,0,0,1,0
