apprenant_id,prenom,nom,email,genre,age,pays,canal_acquisition,date_inscription,premium
APP0001,Sophie,Dembele,sophie.dembele0@email.com,F,26,Senegal,Organique,2022-01-13,0
APP0002,Moussa,Sylla,moussa.sylla1@email.com,M,30,Cote d'Ivoire,Partenaire,2022-03-01,1
APP0003,Aminata,Coulibaly,aminata.coulibaly2@email.com,F,23,Cameroun,Partenaire,2024-06-30,1
APP0004,Laure,Bamba,laure.bamba3@email.com,F,18,Senegal,Publicite,2023-06-01,1
APP0005,Kone,Sow,kone.sow4@email.com,M,18,Mali,Organique,2022-03-14,1
APP0006,Mariame,Toure,mariame.toure5@email.com,F,25,Cameroun,Partenaire,2022-01-31,0
APP0007,Mariame,Barry,mariame.barry6@email.com,F,20,Mali,Publicite,2024-02-10,0
APP0008,Adjoua,Diop,adjoua.diop7@email.com,F,25,Senegal,Reseaux sociaux,2024-06-30,0
APP0009,Eric,Ndoye,eric.ndoye8@email.com,M,37,Cote d'Ivoire,Publicite,2022-10-25,0
APP0010,Moussa,Doumbia,moussa.doumbia9@email.com,M,19,Cote d'Ivoire,Publicite,2022-11-07,1
APP0011,Cheick,Toure,moussa.doumbia9@email.com,M,26,Senegal,Partenaire,2022-02-05,1
APP0012,Laure,Keita,laure.keita11@email.com,F,40,Cote d'Ivoire,Publicite,2022-09-28,0
APP0013,Coumba,Diop,coumba.diop12@email.com,F,30,Mali,Reseaux sociaux,2022-11-19,0
APP0014,Aissatou,Ndoye,aissatou.ndoye13@email.com,F,25,Senegal,Reseaux sociaux,2024-06-30,1
APP0015,Moussa,Bamba,moussa.bamba14@email.com,M,27,Burkina Faso,Publicite,2022-03-17,0
APP0016,Amadou,Cisse,amadou.cisse15@email.com,M,30,Cote d'Ivoire,Partenaire,2022-06-21,0
APP0017,Oumar,Bah,oumar.bah16@email.com,M,38,Cote d'Ivoire,Organique,2022-09-16,0
APP0018,Kofi,Bamba,kofi.bamba17@email.com,M,24,Mali,Organique,2022-03-15,0
APP0019,Aminata,Bah,aminata.bah18@email.com,F,23,Cote d'Ivoire,Organique,2023-09-09,0
APP0020,Fatoumata,Bamba,fatoumata.bamba19@email.com,F,19,Cote d'Ivoire,Publicite,2022-05-19,0
APP0021,Mariame,Cisse,mariame.cisse20@email.com,F,-5,Mali,Organique,2022-05-17,0
APP0022,Jean,Sylla,jean.sylla21@email.com,M,19,Senegal,Organique,2023-09-20,0
APP0023,Aissatou,Toure,aissatou.toure22@email.com,F,25,Mali,Reseaux sociaux,2022-02-09,0
APP0024,Rokia,Bamba,rokia.bamba23@email.com,F,22,Senegal,Organique,2022-11-09,0
APP0025,Aminata,Camara,aminata.camara24@email.com,F,34,Burkina Faso,Publicite,2022-05-23,0
APP0026,Thierry,Mbaye,thierry.mbaye25@email.com,M,24,Burkina Faso,Reseaux sociaux,2022-07-23,0
APP0027,Jean,Doumbia,jean.doumbia26@email.com,M,30,France,Organique,2022-09-21,1
APP0028,Eric,Diallo,eric.diallo27@email.com,M,18,Cote d'Ivoire,Organique,2023-06-09,1
APP0029,Cheick,Sow,cheick.sow28@email.com,M,28,Senegal,Partenaire,2023-01-14,0
APP0030,Laure,Kone,laure.kone29@email.com,F,20,Cote d'Ivoire,Reseaux sociaux,2023-02-22,0
APP0031,Aissatou,Cisse,aissatou.cisse30@email.com,F,25,Cote d'Ivoire,Reseaux sociaux,2022-12-18,0
APP0032,Clarisse,Toure,clarisse.toure31@email.com,F,41,Cote d'Ivoire,Organique,2022-09-22,0
