inscription_id,apprenant_id,parcours_id,progression_pct,engagement_score,nb_jours_inactif,score_risque,alerte_decrochage,prenom,nom,pays,titre,domaine,instructeur
INS05642,APP3949,PAR008,11.0,0.8167295206399645,163.0,0.9973011872389861,1,Adjoua,Coulibaly,Senegal,Marketing Digital,Marketing Digital,Bamba Clarisse
INS06240,APP4350,PAR012,10.0,0.810336680620786,120.0,0.9969825689997104,1,Nathalie,Coulibaly,Cameroun,Leadership & Soft Skills,Management,Ouattara Serge
INS04199,APP2945,PAR012,15.0,1.6973874414717145,65.0,0.9945171422436958,1,Serge,Diop,Cameroun,Leadership & Soft Skills,Management,Ouattara Serge
INS02155,APP1532,PAR003,18.0,1.6973874414717145,251.0,0.9943815131164032,1,Yao,Mbaye,Cote d'Ivoire,SQL & Bases de Donnees,Data & IA,Ndoye Cheick
INS00027,APP0021,PAR012,13.0,2.3798673217089297,270.0,0.9928504387751044,1,Mariame,Cisse,Mali,Leadership & Soft Skills,Management,Ouattara Serge
INS04621,APP3241,PAR008,13.0,2.392653001747287,68.0,0.9925849403772924,1,Sophie,Kone,Cote d'Ivoire,Marketing Digital,Marketing Digital,Bamba Clarisse
INS00738,APP0510,PAR010,30.0,3.057508363741853,434.0,0.9921304164920057,1,Thierry,Bah,Ghana,Community Management,Marketing Digital,Konaté Aida
INS00394,APP0272,PAR004,19.0,2.616402402418535,96.0,0.9910560404643638,1,Oumar,Keita,Cote d'Ivoire,Power BI & Dashboards,Data & IA,Diallo Fatoumata
INS04358,APP3057,PAR004,20.0,3.3052751226749293,39.0,0.9908894462445696,1,Marie,Diallo,Senegal,Power BI & Dashboards,Data & IA,Diallo Fatoumata
INS06124,APP4274,PAR011,24.0,3.3744642974658303,135.0,0.9905765677367007,1,Rokia,Keita,Cote d'Ivoire,Management de Projet,Management,Ouattara Serge
INS00734,APP0508,PAR001,14.0,5.0745378061724935,402.0,0.9905503459874149,1,Sophie,Mbaye,Senegal,Data Analyse avec Python,Data & IA,Kouassi Yao
INS02755,APP1953,PAR009,11.0,1.780494361721035,101.0,0.9903465786605151,1,Fatoumata,Coulibaly,Ghana,SEO & Growth Hacking,Marketing Digital,Bamba Clarisse
INS02843,APP2014,PAR004,20.0,3.77834528409414,137.0,0.9903034119086754,1,Yao,Bah,Cote d'Ivoire,Power BI & Dashboards,Data & IA,Diallo Fatoumata
INS04605,APP3230,PAR011,28.0,4.895538285635495,98.0,0.9899619615829794,1,Luc,Doumbia,Senegal,Management de Projet,Management,Ouattara Serge
INS05511,APP3856,PAR002,19.0,7.678043168681889,53.0,0.9898255581817305,1,Oumar,Kone,Cote d'Ivoire,Machine Learning Applique,Data & IA,Kouassi Yao
INS06013,APP4194,PAR001,19.0,2.85664425591237,278.0,0.9897228702483818,1,Aissatou,Doumbia,Cote d'Ivoire,Data Analyse avec Python,Data & IA,Kouassi Yao
INS03083,APP2177,PAR010,40.0,4.473610844369713,166.0,0.9896644105881532,1,Thierry,Coulibaly,Senegal,Community Management,Marketing Digital,Konaté Aida
INS03008,APP2128,PAR004,12.0,3.0191513236267817,194.0,0.9896028190112309,1,Cheick,Dembele,Cote d'Ivoire,Power BI & Dashboards,Data & IA,Diallo Fatoumata
INS05495,APP3847,PAR005,19.0,4.820378207220238,156.0,0.9892528174205136,1,Laure,Kone,Senegal,HTML CSS JavaScript,Developpement Web,Camara Luc
INS03768,APP2647,PAR002,11.0,6.962156446404677,48.0,0.9891896754537773,1,Rokia,Traore,Cote d'Ivoire,Machine Learning Applique,Data & IA,Kouassi Yao
INS03882,APP2725,PAR004,24.0,4.838002725462888,75.0,0.989039622908256,1,Yao,Ouattara,Cote d'Ivoire,Power BI & Dashboards,Data & IA,Diallo Fatoumata
INS03516,APP2475,PAR012,15.0,4.812431365386175,101.0,0.9881527777819753,1,Seydou,Ouattara,France,Leadership & Soft Skills,Management,Ouattara Serge
INS03007,APP2127,PAR010,23.0,4.136344325168137,123.0,0.9878946557249985,1,Eric,Cisse,Cote d'Ivoire,Community Management,Marketing Digital,Konaté Aida
INS03923,APP2755,PAR005,16.0,4.882752605597138,40.0,0.9877907774114065,1,Laure,Cisse,Senegal,HTML CSS JavaScript,Developpement Web,Camara Luc
INS05389,APP3773,PAR010,24.0,3.479435805007636,283.0,0.9877286183454481,1,Adjoua,Ouattara,Senegal,Community Management,Marketing Digital,Konaté Aida
INS02390,APP1704,PAR008,12.0,1.6782089214141789,30.0,0.9876531395439986,1,Laure,Ndoye,Mali,Marketing Digital,Marketing Digital,Bamba Clarisse
INS03756,APP2638,PAR005,29.0,7.77404712884035,32.0,0.9873415815931039,1,Cheick,Konaté,Cote d'Ivoire,HTML CSS JavaScript,Developpement Web,Camara Luc
INS00193,APP0143,PAR007,12.0,5.571625325853532,151.0,0.9872261071564589,1,Mariame,Ouattara,Cote d'Ivoire,Python Web avec Django,Developpement Web,Traore Eric
INS05738,APP4012,PAR005,13.0,4.090462379613824,144.0,0.98660989392431,1,Yao,Barry,Cote d'Ivoire,HTML CSS JavaScript,Developpement Web,Camara Luc
INS00381,APP0265,PAR009,15.0,5.285501526805385,51.0,0.9864739318179416,1,Bintou,Traore,Cameroun,SEO & Growth Hacking,Marketing Digital,Bamba Clarisse
INS04835,APP3391,PAR012,30.0,5.5780181658727095,122.0,0.9864446386131425,1,Kone,Bah,Cote d'Ivoire,Leadership & Soft Skills,Management,Ouattara Serge
INS02499,APP1783,PAR003,26.0,6.421873048404275,55.0,0.9864112997955825,1,Yao,Diop,Senegal,SQL & Bases de Donnees,Data & IA,Ndoye Cheick
INS00804,APP0557,PAR001,18.0,5.202394606556064,57.0,0.9862425159808824,1,Thierry,Doumbia,Mali,Data Analyse avec Python,Data & IA,Kouassi Yao
INS05423,APP3797,PAR011,13.0,5.271583781346964,393.0,0.9855522747718017,1,Mariame,Konaté,Cote d'Ivoire,Management de Projet,Management,Ouattara Serge
INS03865,APP2713,PAR004,16.0,3.823095164228389,56.0,0.9854973218184525,1,Kone,Diop,Burkina Faso,Power BI & Dashboards,Data & IA,Diallo Fatoumata
INS01306,APP0934,PAR012,46.0,7.716511568667742,104.0,0.9846491591575707,1,Sophie,Barry,Cote d'Ivoire,Leadership & Soft Skills,Management,Ouattara Serge
INS05491,APP3844,PAR012,36.0,5.630714887841024,77.0,0.983707788760172,1,Mariame,Camara,Senegal,Leadership & Soft Skills,Management,Ouattara Serge
INS06390,APP4450,PAR004,14.0,5.175691181059286,130.0,0.9834087231725037,1,Jean,Ndoye,Senegal,Power BI & Dashboards,Data & IA,Diallo Fatoumata
INS01500,APP1066,PAR012,21.0,4.040451724880459,163.0,0.983374171447514,1,Nathalie,Bamba,Cote d'Ivoire,Leadership & Soft Skills,Management,Ouattara Serge
INS03246,APP2291,PAR002,11.0,5.34942992699717,37.0,0.9828976889008796,1,Adjoua,Coulibaly,Mali,Machine Learning Applique,Data & IA,Kouassi Yao
INS04814,APP3379,PAR003,51.0,7.153941646980034,34.0,0.9828235586284878,1,Serge,Coulibaly,Mali,SQL & Bases de Donnees,Data & IA,Ndoye Cheick
INS01298,APP0927,PAR008,43.0,6.981334966462213,31.0,0.98276612277102,1,Kone,Mbaye,Senegal,Marketing Digital,Marketing Digital,Bamba Clarisse
INS00298,APP0210,PAR008,17.0,2.253564523140245,304.0,0.9825380743724995,1,Serge,Sylla,Cameroun,Marketing Digital,Marketing Digital,Bamba Clarisse
INS03361,APP2375,PAR002,14.0,6.364337488231668,190.0,0.9824944751035052,1,Eric,Mbaye,Cameroun,Machine Learning Applique,Data & IA,Kouassi Yao
INS03451,APP2431,PAR001,13.0,3.402721724777493,44.0,0.9823482760279535,1,Sophie,Diop,Senegal,Data Analyse avec Python,Data & IA,Kouassi Yao
INS03266,APP2306,PAR011,17.0,5.92323152690835,70.0,0.9820866171683971,1,Cheick,Diop,Senegal,Management de Projet,Management,Ouattara Serge
INS01685,APP1201,PAR001,11.0,3.212490526017024,123.0,0.9816834286557637,1,Thierry,Sylla,Cote d'Ivoire,Data Analyse avec Python,Data & IA,Kouassi Yao
INS01293,APP0924,PAR004,23.0,7.3013989038159615,113.0,0.9814841509791982,1,Jean,Doumbia,Cote d'Ivoire,Power BI & Dashboards,Data & IA,Diallo Fatoumata
INS00108,APP0079,PAR012,14.0,6.3722843300657335,61.0,0.9812881761773979,1,Eric,Traore,Cote d'Ivoire,Leadership & Soft Skills,Management,Ouattara Serge
INS01062,APP0750,PAR008,19.0,6.415480208385096,272.0,0.9812465094809258,1,Nathalie,Ndoye,Senegal,Marketing Digital,Marketing Digital,Bamba Clarisse
INS03227,APP2279,PAR008,16.0,2.399045841766465,77.0,0.9810389861471335,1,Mariame,Coulibaly,Cote d'Ivoire,Marketing Digital,Marketing Digital,Bamba Clarisse
INS05177,APP3635,PAR012,37.0,7.830450623592894,336.0,0.9807619476737045,1,Sophie,Cisse,Cote d'Ivoire,Leadership & Soft Skills,Management,Ouattara Serge
INS06416,APP4465,PAR010,53.0,6.024384901795144,105.0,0.9807203546558054,1,Seydou,Konaté,Mali,Community Management,Marketing Digital,Konaté Aida
INS00180,APP0132,PAR011,29.0,7.519887529888095,147.0,0.980661650788965,1,Marie,Mbaye,Cameroun,Management de Projet,Management,Ouattara Serge
INS04699,APP3298,PAR003,21.0,7.62856581021413,329.0,0.9803656413297908,1,Kone,Camara,Ghana,SQL & Bases de Donnees,Data & IA,Ndoye Cheick
