client_id,client_nom,nationalite,client_fidele,nb_sejours,revenu_total,duree_moy,csat_moy,quartile,segment
CLI0188,Yao Ndoye,Ivoirien,0,8,5814675.0,3.9,4.5,1,VIP Top 10%
CLI2067,Sophie Koné,Ivoirien,0,9,5576200.0,2.8,4.0,1,VIP Top 10%
CLI2595,Fatou Bamba,Allemand,0,6,5254700.0,3.8,3.5,1,VIP Top 10%
CLI1334,Paul Koné,Ivoirien,0,6,5089320.0,4.5,5.0,1,VIP Top 10%
CLI0508,Marie Diallo,Ghaneeen,0,6,4990250.0,4.2,4.5,1,VIP Top 10%
CLI0102,Awa Kouassi,Britannique,0,8,4824270.0,3.6,4.0,1,VIP Top 10%
CLI0749,Binta Bamba,Senegalais,1,8,4619920.0,3.0,4.3,1,VIP Top 10%
CLI2512,Eric Koné,Ghaneeen,1,8,4305450.0,2.1,3.5,1,VIP Top 10%
CLI1089,Marie Koné,Senegalais,0,9,4161440.0,2.4,3.9,1,VIP Top 10%
CLI0877,Marie Camara,Americain,0,4,4117460.0,4.3,3.8,1,VIP Top 10%
CLI0334,Jean Traore,Ivoirien,0,7,4077300.0,2.4,4.2,1,VIP Top 10%
CLI1034,Cheick Nkomo,Senegalais,0,4,4037900.0,5.3,4.3,1,VIP Top 10%
CLI2355,Yao Sow,Senegalais,0,4,4011100.0,4.5,4.3,1,VIP Top 10%
CLI1988,Awa Mensah,Americain,0,4,3943920.0,3.8,4.0,1,VIP Top 10%
CLI2401,Serge Bamba,Ivoirien,0,6,3940640.0,3.2,3.7,1,VIP Top 10%
CLI1779,Eric Camara,Americain,0,7,3935700.0,4.3,4.6,1,VIP Top 10%
CLI2916,Eric Traore,Senegalais,1,6,3864920.0,2.8,3.0,1,VIP Top 10%
CLI0590,Jean Kouassi,Americain,0,5,3852800.0,2.8,3.4,1,VIP Top 10%
CLI0982,Awa Diallo,Ivoirien,1,6,3847860.0,3.3,3.5,1,VIP Top 10%
CLI0101,Rokia Traore,Senegalais,0,4,3719950.0,4.5,3.3,1,VIP Top 10%
CLI1907,Moussa Kouassi,Autre,0,3,3717480.0,3.3,4.7,1,VIP Top 10%
CLI2543,Serge Kouassi,Ivoirien,0,5,3717000.0,3.8,4.0,1,VIP Top 10%
CLI0934,Clarisse Ndoye,Senegalais,0,10,3682250.0,2.3,4.1,1,VIP Top 10%
CLI2249,Moussa Mensah,Autre,0,6,3652355.0,2.8,3.2,1,VIP Top 10%
CLI2796,Adjoua Bamba,Senegalais,1,8,3588160.0,4.0,4.4,1,VIP Top 10%
CLI1918,Yao Kouassi,Ivoirien,0,6,3571100.0,3.0,4.0,1,VIP Top 10%
CLI1954,Moussa Nkomo,Britannique,0,3,3552500.0,5.0,4.0,1,VIP Top 10%
CLI0562,Kofi Sow,Ghaneeen,0,5,3532140.0,2.6,4.0,1,VIP Top 10%
CLI2172,Eric Diallo,Ghaneeen,0,7,3489280.0,2.9,4.7,1,VIP Top 10%
CLI0025,Fatou Nkomo,Autre,0,7,3430080.0,3.9,4.0,1,VIP Top 10%
CLI2813,Marie Bamba,Ghaneeen,0,6,3399000.0,3.2,3.8,1,VIP Top 10%
CLI2737,Ibrahim Nkomo,Senegalais,0,8,3368040.0,3.1,4.3,1,VIP Top 10%
CLI2740,Serge Traore,Britannique,0,5,3347480.0,4.4,4.2,1,VIP Top 10%
CLI1445,Aida Diallo,Americain,0,11,3344480.0,2.4,4.5,1,VIP Top 10%
CLI0216,Serge Sow,Camerounais,0,3,3343050.0,3.3,4.0,1,VIP Top 10%
CLI1986,Kofi Kouassi,Ivoirien,1,5,3329800.0,4.0,3.2,1,VIP Top 10%
CLI1710,Binta Diallo,Senegalais,0,6,3328300.0,3.0,3.8,1,VIP Top 10%
CLI1268,Jean Ndoye,Senegalais,0,8,3322960.0,3.1,4.1,1,VIP Top 10%
CLI1823,Jean Mensah,Camerounais,0,4,3261800.0,5.0,4.0,1,VIP Top 10%
CLI1321,Ibrahim Ndoye,Ivoirien,0,4,3259400.0,3.0,4.5,1,VIP Top 10%
CLI1400,Jean Koné,Camerounais,0,7,3252900.0,3.3,4.0,1,VIP Top 10%
CLI1575,Paul Bamba,Ivoirien,0,5,3248600.0,3.4,4.0,1,VIP Top 10%
CLI2185,Binta Ndoye,Allemand,0,4,3241200.0,3.8,3.8,1,VIP Top 10%
CLI1166,Aida Camara,Ghaneeen,0,5,3240200.0,2.8,4.0,1,VIP Top 10%
CLI1362,Eric Kouassi,Camerounais,0,5,3194000.0,3.6,4.0,1,VIP Top 10%
CLI0831,Aminata Kouassi,Ghaneeen,0,7,3189040.0,3.3,3.3,1,VIP Top 10%
CLI2807,Paul Traore,Ghaneeen,0,9,3182120.0,2.6,4.1,1,VIP Top 10%
CLI0782,Yao Bamba,Ghaneeen,0,9,3157800.0,2.4,4.0,1,VIP Top 10%
CLI0429,Eric Kouassi,Ivoirien,0,3,3146000.0,5.0,3.7,1,VIP Top 10%
CLI2402,Luc Sow,Ivoirien,0,7,3127800.0,2.9,2.9,1,VIP Top 10%
CLI0465,Luc Bamba,Allemand,0,7,3123700.0,3.3,4.1,1,VIP Top 10%
CLI1118,Clarisse Camara,Ivoirien,0,10,3120560.0,3.3,4.3,1,VIP Top 10%
CLI0843,Jean Nkomo,Senegalais,1,5,3117000.0,3.2,4.0,1,VIP Top 10%
CLI1360,Aminata Traore,Ivoirien,0,8,3090770.0,2.3,3.9,1,VIP Top 10%
CLI0861,Eric Sow,Ivoirien,0,6,3069920.0,2.3,3.5,1,VIP Top 10%
CLI0251,Cheick Nkomo,Ghaneeen,0,6,3067600.0,3.8,4.3,1,VIP Top 10%
CLI0550,Yao Diallo,Français,0,9,3059100.0,3.4,3.8,1,VIP Top 10%
CLI0214,Ibrahim Diallo,Ivoirien,0,7,3047280.0,2.3,3.7,1,VIP Top 10%
CLI2614,Awa Traore,Ivoirien,0,10,3047000.0,2.8,3.9,1,VIP Top 10%
CLI0248,Eric Ndoye,Americain,0,7,3041520.0,4.4,3.9,1,VIP Top 10%
CLI2722,Aida Koné,Camerounais,0,6,3039600.0,3.3,3.5,1,VIP Top 10%
CLI0902,Kofi Camara,Ivoirien,0,6,3034800.0,4.2,4.3,1,VIP Top 10%
CLI2245,Cheick Mensah,Ivoirien,1,2,3025880.0,5.0,4.5,1,VIP Top 10%
CLI2773,Moussa Bamba,Ghaneeen,0,4,3020400.0,5.0,3.8,1,VIP Top 10%
CLI2493,Eric Bamba,Allemand,0,6,2996990.0,3.0,4.8,1,VIP Top 10%
CLI0351,Binta Mensah,Français,1,9,2993760.0,3.4,4.2,1,VIP Top 10%
CLI0623,Cheick Diallo,Ivoirien,0,6,2970450.0,4.2,3.0,1,VIP Top 10%
CLI0552,Paul Mensah,Ivoirien,0,10,2965950.0,3.3,4.1,1,VIP Top 10%
CLI2013,Awa Traore,Camerounais,0,6,2964800.0,3.3,3.5,1,VIP Top 10%
CLI1792,Paul Kouassi,Senegalais,0,7,2959480.0,2.7,3.7,1,VIP Top 10%
CLI1547,Ibrahim Bamba,Ghaneeen,0,8,2948200.0,2.6,3.8,1,VIP Top 10%
CLI2948,Paul Camara,Autre,1,5,2940900.0,3.2,4.6,1,VIP Top 10%
CLI2703,Kofi Sow,Ghaneeen,0,4,2928000.0,3.0,4.5,1,VIP Top 10%
CLI1370,Eric Traore,Ivoirien,0,7,2927100.0,3.1,4.0,1,VIP Top 10%
CLI0792,Eric Camara,Camerounais,0,7,2913500.0,2.4,4.0,1,VIP Top 10%
CLI1430,Adjoua Ndoye,Ivoirien,0,3,2901800.0,3.3,5.0,1,VIP Top 10%
CLI0140,Awa Camara,Autre,0,5,2895640.0,3.4,4.2,1,VIP Top 10%
CLI1579,Eric Sow,Français,0,6,2871100.0,2.0,3.5,1,VIP Top 10%
CLI2666,Awa Mensah,Ghaneeen,0,7,2869000.0,3.0,4.4,1,VIP Top 10%
CLI1617,Fatou Sow,Français,0,8,2865920.0,3.1,4.1,1,VIP Top 10%
CLI2764,Cheick Diallo,Ivoirien,0,3,2838600.0,3.7,4.3,1,VIP Top 10%
CLI0563,Eric Mensah,Camerounais,0,6,2833300.0,2.2,4.5,1,VIP Top 10%
CLI1143,Adjoua Mensah,Ivoirien,0,6,2811840.0,3.3,4.5,1,VIP Top 10%
CLI1800,Kofi Ndoye,Ivoirien,1,6,2800780.0,3.7,2.8,1,VIP Top 10%
CLI2217,Cheick Traore,Autre,1,5,2797950.0,3.4,4.2,1,VIP Top 10%
CLI2176,Binta Kouassi,Autre,0,7,2788680.0,2.6,4.3,1,VIP Top 10%
CLI2954,Yao Koné,Britannique,0,7,2780880.0,2.9,3.7,1,VIP Top 10%
CLI1605,Yao Bamba,Britannique,0,6,2771840.0,4.5,4.6,1,VIP Top 10%
CLI0989,Paul Sow,Ivoirien,1,4,2771200.0,3.5,4.3,1,VIP Top 10%
