client_id,prenom,nom,email,nationalite,genre,age,telephone,client_fidele,nb_sejours_total
CLI0001,Cheick,Ndoye,cheick.ndoye0@mail.com,Allemand,M,25,+225 07 35 86 55,0,7
CLI0002,Kofi,Bamba,kofi.bamba1@mail.com,Americain,M,52,+225 07 95 48 63,0,13
CLI0003,Clarisse,Mensah,clarisse.mensah2@mail.com,Autre,F,48,+225 07 88 51 66,0,5
CLI0004,Moussa,Traore,moussa.traore3@mail.com,Ghaneeen,M,52,+225 07 80 48 48,0,5
CLI0005,Fatou,Koné,fatou.koné4@mail.com,Britannique,F,47,+225 07 12 19 10,0,1
CLI0006,Aminata,Sow,aminata.sow5@mail.com,Ivoirien,F,24,+225 07 79 56 37,1,9
CLI0007,Kofi,Kouassi,kofi.kouassi6@mail.com,Ivoirien,M,40,+225 07 89 78 26,0,14
CLI0008,Moussa,Traore,moussa.traore7@mail.com,Camerounais,M,60,+225 07 21 31 29,0,3
CLI0009,Adjoua,Kouassi,adjoua.kouassi8@mail.com,Americain,F,49,+225 07 45 47 31,0,9
CLI0010,Kofi,Traore,kofi.traore9@mail.com,Americain,M,33,+225 07 82 83 96,0,3
CLI0011,Yao,Mensah,kofi.traore9@mail.com,Camerounais,M,62,+225 07 30 89 47,0,11
CLI0012,Marie,Mensah,marie.mensah11@mail.com,Camerounais,F,28,+225 07 57 82 58,0,4
CLI0013,Adjoua,Kouassi,adjoua.kouassi12@mail.com,Ghaneeen,F,57,+225 07 58 97 63,1,8
CLI0014,Marie,Koné,marie.koné13@mail.com,Allemand,F,30,+225 07 74 24 90,1,5
CLI0015,Luc,Kouassi,luc.kouassi14@mail.com,Britannique,M,32,+225 07 92 35 55,0,1
CLI0016,Fatou,Diallo,fatou.diallo15@mail.com,Ivoirien,F,-3,+225 07 44 34 31,0,8
CLI0017,Binta,Ndoye,binta.ndoye16@mail.com,Ghaneeen,F,42,+225 07 40 30 50,0,9
CLI0018,Moussa,Traore,moussa.traore17@mail.com,Senegalais,M,71,+225 07 64 29 45,1,7
CLI0019,Rokia,Diallo,rokia.diallo18@mail.com,Americain,F,27,+225 07 41 91 73,1,6
CLI0020,Eric,Traore,eric.traore19@mail.com,Camerounais,M,51,+225 07 48 47 42,0,1
CLI0021,Paul,Camara,paul.camara20@mail.com,Autre,M,26,+225 07 46 56 79,0,11
CLI0022,Ibrahim,Koné,ibrahim.koné21@mail.com,Senegalais,M,68,+225 07 83 35 82,0,6
CLI0023,Yao,Diallo,yao.diallo22@mail.com,Français,M,63,+225 07 40 50 42,0,1
CLI0024,Yao,Traore,yao.traore23@mail.com,Ivoirien,M,49,+225 07 11 71 90,0,10
CLI0025,Fatou,Nkomo,fatou.nkomo24@mail.com,Autre,F,70,+225 07 86 30 60,0,10
CLI0026,Marie,Traore,marie.traore25@mail.com,Ivoirien,F,23,+225 07 88 64 76,0,12
CLI0027,Eric,Kouassi,eric.kouassi26@mail.com,Senegalais,M,64,+225 07 24 83 35,0,10
CLI0028,Fatou,Kouassi,fatou.kouassi27@mail.com,Britannique,F,63,+225 07 41 25 47,0,9
CLI0029,Binta,Camara,binta.camara28@mail.com,Autre,F,38,+225 07 93 17 20,0,3
CLI0030,Kofi,Bamba,kofi.bamba29@mail.com,Camerounais,M,52,+225 07 82 78 94,0,1
CLI0031,Eric,Traore,eric.traore30@mail.com,Camerounais,M,56,+225 07 65 59 37,0,4
CLI0032,Yao,Kouassi,yao.kouassi31@mail.com,Ivoirien,M,49,+225 07 80 59 61,0,1
CLI0033,Serge,Ndoye,serge.ndoye32@mail.com,Autre,M,28,+225 07 29 79 91,0,3
CLI0034,Sophie,Koné,sophie.koné33@mail.com,Ivoirien,F,36,+225 07 92 25 68,0,4
CLI0035,Moussa,Traore,moussa.traore34@mail.com,Ivoirien,M,39,+225 07 87 96 54,1,4
CLI0036,Jean,Sow,jean.sow35@mail.com,Camerounais,M,23,+225 07 86 30 40,0,12
CLI0037,Yao,Koné,yao.koné36@mail.com,Ivoirien,M,23,+225 07 60 59 38,0,4
CLI0038,Moussa,Kouassi,moussa.kouassi37@mail.com,Ivoirien,M,38,+225 07 38 84 16,0,13
CLI0039,Fatou,Camara,fatou.camara38@mail.com,Ghaneeen,F,51,+225 07 89 78 34,0,3
CLI0040,Eric,Nkomo,eric.nkomo39@mail.com,Français,M,26,+225 07 97 52 67,1,4
CLI0041,Yao,Nkomo,yao.nkomo40@mail.com,Ivoirien,M,39,+225 07 10 47 38,0,5
CLI0042,Jean,Kouassi,jean.kouassi41@mail.com,Americain,M,44,+225 07 16 36 97,0,14
CLI0043,Yao,Kouassi,yao.kouassi42@mail.com,Ghaneeen,M,47,+225 07 21 87 46,0,5
CLI0044,Kofi,Mensah,kofi.mensah43@mail.com,Ivoirien,M,58,+225 07 54 42 36,1,11
CLI0045,Paul,Koné,paul.koné44@mail.com,Français,M,66,+225 07 39 67 73,0,10
