employe_id,prenom,nom,email,genre,date_naissance,ville,departement_id,poste,niveau_etude,type_contrat,date_embauche,salaire_base,statut,date_depart,motif_depart
EMP0001,Awa,Toure,awa.toure1@telcomci.ci,F,2005-06-04,Bouake,DEP01,Directeur General,Bac+3,CDI,2021-07-23,4886000,Actif,,
EMP0002,Awa,Camara,awa.camara2@telcomci.ci,F,1996-10-20,Abidjan,DEP01,Directeur Adjoint,Bac+3,CDI,2018-04-22,3338000,Actif,,
EMP0003,Moussa,Sow,moussa.sow3@telcomci.ci,M,1977-07-20,Abidjan,DEP01,Assistante Direction,Bac+2,CDI,2022-11-30,934000,Actif,,
EMP0004,Laure,Bamba,laure.bamba4@telcomci.ci,F,2005-05-17,Abidjan,DEP01,Assistante Direction,Bac+4,CDI,2018-02-28,950000,Actif,,
EMP0005,Kouassi,Kouassi,kouassi.kouassi5@telcomci.ci,M,1981-03-02,Abidjan,DEP01,Assistante Direction,Bac,CDI,2019-11-15,897000,Actif,,
EMP0006,Yao,Traore,yao.traore6@telcomci.ci,M,1993-07-03,Abidjan,DEP02,Directeur Commercial,Bac+3,CDI,2017-11-26,2774000,Actif,,
EMP0007,Eric,Kouassi,eric.kouassi7@telcomci.ci,M,2001-10-10,Abidjan,DEP02,Manager Commercial,Bac+3,CDI,2020-01-13,1766000,Actif,,
EMP0008,Marie,Traore,marie.traore8@telcomci.ci,F,2010-11-25,Abidjan,DEP02,Manager Commercial,Bac+5,CDI,2017-10-14,1965000,Actif,,
EMP0009,Jean,Diallo,jean.diallo9@telcomci.ci,M,1982-12-28,Bouake,DEP02,Manager Commercial,Bac+3,CDI,2022-06-04,1534000,Actif,,
EMP0010,Aida,Diallo,aida.diallo10@telcomci.ci,F,1976-06-28,Abidjan,DEP02,Manager Commercial,Bac+5,CDI,2021-04-15,1778000,Actif,,
EMP0011,Sophie,Traore,sophie.traore11@telcomci.ci,F,1993-10-31,Abidjan,DEP02,Manager Commercial,Bac+3,CDI,2020-10-31,-50000,Actif,,
EMP0012,Kofi,Bamba,kofi.bamba12@telcomci.ci,M,2014-04-13,Abidjan,DEP02,Manager Commercial,Bac+4,CDI,2019-12-08,1694000,Inactif,2021-10-13,Retraite
EMP0013,Aminata,Sow,aminata.sow13@telcomci.ci,F,1984-05-08,Korhogo,DEP02,Commercial Senior,Bac+4,CDI,2015-04-23,1041000,Actif,,
EMP0014,Adama,Diallo,adama.diallo14@telcomci.ci,M,1991-05-11,Abidjan,DEP02,Commercial Senior,Bac+4,CDD,2020-11-25,1302000,Actif,,
EMP0015,Yao,Diallo,yao.diallo15@telcomci.ci,M,1975-11-28,Abidjan,DEP02,Commercial Senior,Bac+3,CDI,2017-12-24,1052000,Actif,,
EMP0016,Adama,Bamba,adama.bamba16@telcomci.ci,M,1994-10-24,Abidjan,DEP02,Commercial Senior,Bac+5,CDI,2016-06-09,1075000,Actif,,
EMP0017,Thierry,Ouattara,thierry.ouattara17@telcomci.ci,M,1979-09-19,Abidjan,DEP02,Commercial Senior,Bac,CDI,2021-02-04,1150000,Inactif,2023-04-26,Fin CDD
EMP0018,Sophie,Ouattara,sophie.ouattara18@telcomci.ci,F,1985-07-14,Bouake,DEP02,Commercial Senior,Bac+4,CDI,2023-02-06,1116000,Actif,,
EMP0019,Moussa,Diallo,moussa.diallo19@telcomci.ci,M,1985-11-18,Abidjan,DEP02,Commercial Senior,Bac+3,CDI,2021-07-27,1055000,Actif,,
EMP0020,Kouassi,Cisse,kouassi.cisse20@telcomci.ci,M,1993-07-07,Daloa,DEP02,Commercial Senior,Bac+5,CDI,2016-10-20,1229000,Actif,,
EMP0021,Marie,Bamba,marie.bamba21@telcomci.ci,F,1992-04-09,Abidjan,DEP02,Commercial Senior,Bac+3,CDI,2020-11-29,1246000,Actif,,
EMP0022,Jean,Toure,jean.toure22@telcomci.ci,M,1982-07-11,Abidjan,DEP02,Commercial Senior,Bac+3,CDI,2015-10-02,1035000,Actif,,
EMP0023,Jean,Camara,jean.camara23@telcomci.ci,M,1998-06-28,San Pedro,DEP02,Commercial Senior,Bac+3,CDI,2016-07-24,1081000,Actif,,
EMP0024,Eric,Sow,eric.sow24@telcomci.ci,M,1991-09-19,Abidjan,DEP02,Commercial Senior,Bac+3,CDI,2018-02-03,1028000,Actif,,
EMP0025,Thierry,Traore,thierry.traore25@telcomci.ci,M,1994-06-15,Abidjan,DEP02,Commercial Senior,Bac+3,CDI,2017-06-17,1197000,Actif,,
EMP0026,Ibrahim,Traore,ibrahim.traore26@telcomci.ci,M,2008-12-19,Abidjan,DEP02,Commercial Senior,Bac+4,CDI,2019-03-22,1139000,Actif,,
EMP0027,Sophie,Toure,sophie.toure27@telcomci.ci,F,2010-10-27,Abidjan,DEP02,Commercial Senior,Bac+5,CDI,2015-02-02,1070000,Actif,,
EMP0028,Thierry,Bamba,thierry.bamba28@telcomci.ci,M,2012-07-10,Bouake,DEP02,Commercial Senior,Bac+4,CDI,2020-12-28,1257000,Actif,,
EMP0029,Fatoumata,Ouattara,fatoumata.ouattara29@telcomci.ci,F,1984-03-15,Abidjan,DEP02,Commercial Senior,Bac+4,CDI,2023-09-11,1033000,Actif,,
EMP0030,Adjoua,Ndoye,adjoua.ndoye30@telcomci.ci,F,2000-05-17,Abidjan,DEP02,Commercial Senior,Bac+3,CDI,2022-05-25,1134000,Actif,,
EMP0031,Moussa,Kouassi,moussa.kouassi31@telcomci.ci,M,1992-05-23,San Pedro,DEP02,Commercial Senior,Bac,CDI,2023-11-02,1079000,Inactif,2024-05-18,Fin CDD
EMP0032,Bintou,Camara,bintou.camara32@telcomci.ci,F,1979-08-21,Abidjan,DEP02,Commercial Senior,Bac+3,CDI,2022-12-13,1341000,Actif,,
EMP0033,Clarisse,Cisse,clarisse.cisse33@telcomci.ci,F,2004-11-07,Abidjan,DEP02,Commercial Junior,Bac+4,CDI,2017-12-28,722000,Inactif,2022-05-09,Licenciement
EMP0034,Adama,Toure,adama.toure34@telcomci.ci,M,2010-08-26,Abidjan,DEP02,Commercial Junior,Bac+3,CDI,2023-05-09,665000,Actif,,
EMP0035,Thierry,Traore,thierry.traore35@telcomci.ci,M,2009-12-16,San Pedro,DEP02,Commercial Junior,Bac+2,CDI,2021-06-02,682000,Actif,,
EMP0036,Kouassi,Toure,kouassi.toure36@telcomci.ci,M,1986-03-01,Abidjan,DEP02,Commercial Junior,Bac+5,CDI,2023-08-31,670000,Inactif,2024-03-09,Fin CDD
EMP0037,Kouassi,Traore,kouassi.traore37@telcomci.ci,M,1995-03-29,Abidjan,DEP02,Commercial Junior,Bac+5,CDD,2017-08-23,794000,Actif,,
EMP0038,Aida,Bamba,aida.bamba38@telcomci.ci,F,1992-05-05,Abidjan,DEP02,Commercial Junior,Bac+3,CDD,2022-03-03,804000,Actif,,
EMP0039,Jean,Toure,jean.toure39@telcomci.ci,M,1987-01-11,Abidjan,DEP02,Commercial Junior,Bac,CDI,2023-09-04,747000,Actif,,
EMP0040,Laure,Traore,laure.traore40@telcomci.ci,F,1980-12-03,Abidjan,DEP02,Commercial Junior,Bac+2,CDI,2017-07-21,643000,Actif,,
EMP0041,Moussa,Cisse,moussa.cisse41@telcomci.ci,M,1991-10-03,Abidjan,DEP02,Commercial Junior,Bac,CDI,2021-09-04,855000,Actif,,
